"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Christian McCaffrey","RB","SF",319,35.4,7.91,272,369,163,145,177,1,1,1,1,"1",3.01,64.5,55
"2","Austin Ekeler","RB","LAC",311,21.4,36,271,335,155,144,143,2,2,5,2,"2",5.08,59.9,7
"3","Travis Kelce","TE","KC",286,21.9,73.6,262,319,152,142,158,3,3,2,1,"1",7.06,57.4,23
"4","Justin Jefferson","WR","MIN",331,32.6,15,286,369,144,125,152,4,4,3,1,"1",1.92,65,52
"5","Ja'Marr Chase","WR","CIN",316,29.2,3.55,272,361,129,112,143,5,7,4,2,"1",4.7,60,44
"6","Cooper Kupp","WR","LAR",312,27.3,5.98,272,345,125,112,127,6,6,7,3,"1",9.01,53.9,35
"7","Saquon Barkley","RB","NYG",275,29.4,10.6,244,321,119,117,128,7,5,6,3,"3",10.5,51.9,41
"8","Tyreek Hill","WR","MIA",306,21.2,15,270,329,119,109,111,8,8,9,4,"2",8.11,55.9,7
"9","Tony Pollard","RB","DAL",264,26.4,5.88,227,303,109,99.9,110,9,12,10,4,"3",15.1,46.4,24
"10","CeeDee Lamb","WR","DAL",291,32,6.68,249,328,104,88.5,110,10,17,11,5,"2",16,44.1,58
"11","Josh Jacobs","RB","LVR",258,23.9,0.36,226,291,103,99.4,98.9,11,13,16,5,"3",18,42.2,20
"12","Nick Chubb","RB","CLE",258,26,1.28,223,292,102,96.4,99.8,12,15,13,6,"3",10.6,52.5,25
"13","Derrick Henry","RB","TEN",257,14.4,0.107,233,275,101,106,82.2,13,9,23,7,"3",14.3,48.2,1
"14","Bijan Robinson","RB","ATL",257,22.3,11.8,227,287,101,100,94.1,14,11,19,8,"4",8.63,61.1,13
"15","Patrick Mahomes","QB","KC",369,12.4,1.42,354,392,97.7,101,106,15,10,12,1,"1",14.5,42.5,3
"16","Davante Adams","WR","LVR",285,25.8,3.75,245,316,97.3,84.3,97.7,16,20,17,6,"2",17,45.6,30
"17","Jalen Hurts","QB","PHI",368,18.6,3.4,340,385,96.3,87.4,99.3,17,18,15,2,"1",20.7,36.9,9
"18","Stefon Diggs","WR","BUF",281,23,13,258,317,93.6,97.6,99.4,18,14,14,7,"3",12.9,49.4,15
"19","Josh Allen","QB","BUF",365,27.8,41,329,408,92.9,76.5,122,19,23,8,3,"2",19.5,36.8,44
"20","Jonathan Taylor","RB","IND",245,25.2,5.96,211,278,89.3,83.8,86,20,22,22,9,"4",22.5,39.2,42
"21","Joe Mixon","RB","CIN",239,26,5.14,217,287,83.4,90.5,94.4,21,16,18,10,"4",30.9,32.7,44
"22","Amon-Ra St. Brown","WR","DET",268,19.1,11.2,247,291,80.5,87,73.3,22,19,25,8,"3",20.9,40.6,1
"23","Mark Andrews","TE","BAL",212,18.3,16.1,189,235,78.7,68.5,74.7,23,26,24,2,"2",33.3,26.5,20
"24","Aaron Jones","RB","GB",234,17.6,3.61,211,259,78.2,84.2,66.6,24,21,30,11,"4",36.6,28.7,8
"25","Rhamondre Stevenson","RB","NE",230,25.3,1.99,200,259,74.6,73.5,66.8,25,24,29,12,"5",33.1,26.7,35
"26","Najee Harris","RB","PIT",228,29.3,11.3,180,265,72.6,53.4,72.8,26,33,26,13,"5",29.5,31.5,58
"27","A.J. Brown","WR","PHI",257,33.2,4.17,217,309,69.3,56.5,91.5,27,31,20,9,"3",15.9,43.1,66
"28","Garrett Wilson","WR","NYJ",253,28,6.14,222,304,65.2,61.8,86.2,28,28,21,10,"4",19.9,40.1,45
"29","T.J. Hockenson","TE","MIN",196,15.1,12.6,177,215,62.6,56.4,54.8,29,32,35,3,"2",49.2,18,17
"30","Travis Etienne","RB","JAC",217,19.2,2.88,193,247,61.3,65.8,54.5,30,27,36,14,"5",31.1,29.6,15
"31","Jaylen Waddle","WR","MIA",246,22,11.1,212,269,59,52.1,51.2,31,34,41,11,"4",25.9,33.7,17
"32","Kenneth Walker III","RB","SEA",214,27.9,1.56,179,259,58.4,52,66.9,32,35,28,15,"5",44.3,19,52
"33","James Conner","RB","ARI",212,14.1,0.734,199,231,56.9,72.3,38.1,33,25,50,16,"5",61,16,4
"34","Jahmyr Gibbs","RB","DET",212,22.5,3.26,176,239,56.1,49,46.2,34,40,44,17,"6",34.5,33.8,28
"35","Alexander Mattison","RB","MIN",208,18.1,1.09,186,233,52.9,59.3,41,35,30,48,18,"6",57.4,17.7,23
"36","Lamar Jackson","QB","BAL",324,21.3,1.8,291,356,51.9,38.4,70,36,51,27,4,"2",35.2,26.9,29
"37","Dameon Pierce","RB","HOU",207,24.8,1.44,188,256,51.8,60.9,63.6,37,29,33,19,"6",46.9,18.8,46
"38","Rachaad White","RB","TB",206,22.9,3.38,171,228,50.3,44,35.6,38,44,55,20,"6",71.7,12.1,38
"39","Joe Burrow","QB","CIN",322,21.7,18.1,294,350,50.1,41.2,64.8,39,49,31,5,"3",36.4,25.2,26
"40","George Kittle","TE","SF",183,20.7,4.44,162,214,50,42.3,53,40,48,39,4,"3",51.2,16.2,40
"41","Chris Olave","WR","NO",235,22.8,0.0534,207,272,47.9,46.8,54.1,41,42,37,12,"4",30.1,31.2,21
"42","DeVonta Smith","WR","PHI",235,26,0.0383,212,283,47.8,51.4,64.7,42,36,32,13,"4",31.9,28.1,48
"43","Tee Higgins","WR","CIN",235,19.1,1.65,210,259,47.8,49.6,40.8,43,37,49,14,"4",33.6,27.5,10
"44","Miles Sanders","RB","CAR",203,30.5,1.95,163,245,47,36.7,52.6,44,52,40,21,"6",53.8,16.5,65
"45","DK Metcalf","WR","SEA",234,23.8,2.52,197,260,46.2,36.4,41.7,45,53,46,15,"4",36.5,27.4,31
"46","Darren Waller","TE","NYG",179,11.8,11,163,196,45.5,43.2,35.2,46,46,56,5,"3",55.9,14.7,6
"47","Breece Hall","RB","NYJ",201,20.2,4.03,176,230,45,49.5,37.8,47,38,51,22,"6",45.1,21.9,32
"48","Calvin Ridley","WR","JAC",231,21.6,0.241,204,255,43.6,43.7,37,48,45,52,16,"4",36.3,25,28
"49","Keenan Allen","WR","LAC",231,17,2.26,209,251,43.4,49.1,33,49,39,58,17,"4",46.9,23.1,6
"50","Amari Cooper","WR","CLE",229,22.4,0.147,203,267,41.1,42.6,49,50,47,42,18,"4",42.1,21.3,20
"51","J.K. Dobbins","RB","BAL",197,30.2,9.57,163,241,41,36.2,49,52,54,43,23,"7",56.7,15.4,68
"52","Deebo Samuel","WR","SF",228,23.6,2.89,205,263,41,45.2,45,51,43,45,19,"5",37.5,23.5,41
"53","Christian Watson","WR","GB",226,17.2,5.07,208,254,38.1,47.4,36.2,53,41,53,20,"5",55.4,13.5,13
"54","Dallas Goedert","TE","PHI",168,18.8,2.19,143,189,34.6,23.1,28.4,54,69,64,6,"4",65.4,10.5,31
"55","Chris Godwin","WR","TB",220,22,3.26,195,249,33,35,31.3,55,58,62,21,"5",75.5,11.6,32
"56","Jalen Pitre","DB","HOU",138,7.93,27.1,131,146,33,40.3,21.4,56,50,73,1,"1",NA,10.7,13
"57","Kyle Pitts","TE","ATL",166,8.27,9.39,156,179,32.4,35.6,18.7,57,57,81,7,"4",65.3,10.9,1
"58","Justin Fields","QB","CHI",304,15.2,1.06,283,327,31.9,30.1,41.6,58,61,47,6,"3",46.8,19.1,12
"59","James Cook","RB","BUF",187,20.9,1.68,154,217,31.4,27.1,24.7,59,66,67,24,"7",72.9,12,27
"60","Justin Herbert","QB","LAC",303,20.2,14.6,285,339,30.9,32.2,53.4,60,59,38,7,"4",44.9,20.6,24
"61","Terry McLaurin","WR","WAS",217,31.8,0.938,185,273,29.8,24.6,55.6,61,68,34,22,"5",60.1,12.4,75
"62","Javonte Williams","RB","DEN",185,37.5,0.0669,135,225,29.7,8.15,32.7,62,94,60,25,"7",71.8,12.8,85
"63","Cam Akers","RB","LAR",185,22,2.37,149,216,29.7,22.3,23.4,63,72,69,26,"7",60.6,15.1,30
"64","Mike Evans","WR","TB",216,26.8,0.306,183,251,28.8,22.6,33,64,70,59,23,"5",76.6,12.6,51
"65","Mike Williams","WR","LAC",216,23.9,1.51,181,254,28.5,20.6,35.7,65,76,54,24,"5",67.2,11.8,49
"66","Alvin Kamara","RB","NO",183,17.5,0.201,152,200,27.3,25.5,7.08,66,67,110,27,"7",69.4,17.2,17
"67","Isiah Pacheco","RB","KC",183,15.5,0.647,156,201,27.1,29.6,8.64,67,63,106,28,"7",70.2,10.4,3
"68","DeAndre Hopkins","WR","TEN",214,16.3,0.0767,196,239,27,36,20.8,68,56,74,25,"5",57.4,16.7,4
"69","Christian Kirk","WR","JAC",214,22.4,2.67,191,250,26.9,30.7,31.8,69,60,61,26,"5",75.9,9.23,38
"70","David Montgomery","RB","DET",182,16.7,4.28,163,203,26.4,36.2,10.6,70,55,101,29,"7",77,10.7,6
"71","D.J. Moore","WR","CHI",212,18,3.04,188,242,24.3,27.7,24.5,71,65,68,27,"5",51.7,15.9,14
"72","Evan Engram","TE","JAC",156,9.95,3.76,148,173,23,28.1,12.7,72,64,92,8,"4",84.3,6.32,3
"73","D'Andre Swift","RB","PHI",178,22.3,9.31,145,205,22.2,18,12.2,73,78,94,30,"7",78.2,9.56,37
"74","Tyler Lockett","WR","SEA",209,27.3,4.21,181,246,21.2,20.6,27.9,74,75,66,28,"6",69.8,11.6,61
"75","Foyesade Oluokun","LB","JAC",143,33.6,3.27,124,181,20,22.5,18.2,75,71,82,1,"1",NA,18.9,49
"76","Pat Freiermuth","TE","PIT",153,12.7,8.91,135,174,19.2,15.1,13.8,76,80,88,9,"5",92.3,4.99,9
"77","Diontae Johnson","WR","PIT",204,15.8,0.519,182,226,17,21.6,8.62,77,74,107,29,"6",82,10.9,11
"78","Roquan Smith","LB","BAL",139,36,5.1,116,180,16.7,14.9,17.6,78,82,84,2,"1",NA,16.2,57
"79","Marquise Brown","WR","ARI",204,18.8,1.19,182,231,16.5,22.1,13.6,79,73,89,30,"6",93.9,6.26,27
"80","Deshaun Watson","QB","CLE",288,19.9,4.09,260,314,16.3,7.25,28.1,80,99,65,8,"4",79.9,8.66,38
"81","Drake London","WR","ATL",203,15.6,0.352,190,232,15.3,30,14,81,62,87,31,"6",70.1,10.5,1
"82","Michael Pittman","WR","IND",202,32.6,3.15,156,246,15,-3.94,28.4,82,153,63,32,"6",89.9,7.33,82
"83","Maxx Crosby","DL","LVR",88,20.4,3.16,75.1,111,13.4,6.51,20.5,83,102,75,1,"1",NA,12.5,80
"84","Dalvin Cook","RB","NYJ",168,34.8,0.246,127,210,12.9,0,17.2,84,130,85,31,"8",71.8,13.8,77
"85","Antonio Gibson","RB","WAS",168,18.2,2.39,145,197,12.6,18.6,4.13,85,77,120,32,"8",108,6.15,10
"86","Daniel Jones","QB","NYG",284,22.3,7.05,257,320,12.2,4.58,34.5,86,109,57,9,"4",110,6.24,50
"87","Jerry Jeudy","WR","DEN",199,23.1,0.323,170,239,11.8,9.63,21.4,87,91,72,33,"6",69.9,9.63,70
"88","Zaire Franklin","LB","IND",134,34.1,1.77,115,173,11.6,14.3,10.5,88,85,102,3,"1",NA,18.8,51
"89","Brandon Aiyuk","WR","SF",199,23.5,10.2,175,241,11.5,14.6,23,89,84,70,34,"6",74.3,10.9,46
"90","Justin Tucker","K","BAL",156,13.6,1.34,143,178,11,10.8,20.5,90,90,76,1,"1",103,5.38,26
"91","Tyler Higbee","TE","LAR",144,11.9,0.0787,125,156,10.3,4.84,-5,91,108,165,10,"5",139,2.7,14
"92","Micah Parsons","DL","DAL",84.9,5.59,1.38,81.3,89,10.3,12.7,-1.86,92,87,142,2,"1",NA,NA,33
"93","AJ Dillon","RB","GB",166,22.3,1.44,129,192,10.2,2.54,0,94,119,130,33,"8",95.1,6.23,21
"94","David Njoku","TE","CLE",144,17.5,2.04,125,171,10.2,4.47,10.7,93,111,100,11,"5",96.2,5.16,37
"95","Nick Bolton","LB","KC",132,43.1,2.73,107,182,9.83,5.84,19,95,103,80,4,"1",NA,NA,86
"96","Daniel Carlson","K","LVR",154,14.6,5.27,139,180,9.62,6.81,22.3,96,101,71,2,"1",127,2.69,87
"97","T.J. Watt","DL","PIT",83.5,5.37,1.49,79.5,86.9,8.89,11,-3.9,97,89,158,3,"1",NA,10.4,29
"98","Khalil Herbert","RB","CHI",164,23.4,8.78,141,201,8.78,13.8,8.47,98,86,108,34,"8",90.5,8.84,39
"99","Dalton Schultz","TE","HOU",141,13.1,8.19,128,161,8.19,7.33,0,99,98,130,12,"6",123,3.56,29
"100","Myles Garrett","DL","CLE",82,19.3,3.43,71.2,104,7.41,2.67,13.3,100,117,90,4,"2",NA,12.5,78
"101","Frankie Luvu","LB","CAR",130,21.8,2.24,116,155,7.1,14.7,-8.23,101,83,185,5,"1",NA,12.1,10
"102","Antoine Winfield","DB","TB",111,18.9,0.365,98.9,132,5.88,8.71,8.1,102,93,109,2,"1",NA,6.91,63
"103","Budda Baker","DB","ARI",110,23.2,2.13,95.5,137,5.51,5.26,12.6,103,105,93,3,"1",NA,8.45,78
"104","Kirk Cousins","QB","MIN",277,4.93,1.74,269,283,5.13,16.5,-3.14,104,79,150,10,"4",101,7.95,1
"105","Eagles","DST","PHI",102,8.85,1.65,93.8,116,5.03,8.93,4.97,105,92,116,1,"1",113,2.64,23
"106","C.J. Mosley","LB","NYJ",127,24.9,3.12,113,156,4.86,11.6,-6.78,106,88,181,6,"1",NA,14.9,18
"107","Younghoe Koo","K","ATL",149,6.25,0.403,139,156,4.35,7.11,-1.45,107,100,140,3,"1",154,2.02,3
"108","Aaron Donald","DL","LAR",78.6,20.7,1.32,66.4,102,3.98,-2.11,11.5,108,142,98,5,"2",NA,13.3,82
"109","Evan McPherson","K","CIN",149,12.9,0.888,137,174,3.95,5.36,16,109,104,86,4,"1",138,2.97,42
"110","Trevor Lawrence","QB","JAC",275,18.6,1.03,255,306,3.39,2.25,20,110,123,78,11,"5",57.7,15.7,21
"111","Patriots","DST","NE",100,15.1,3.38,79.6,124,3.38,-5.26,12.9,112,161,91,2,"2",136,1.48,74
"112","Derwin James","DB","LAC",108,24.6,1.45,92.8,136,3.38,2.56,12.1,111,118,95,4,"1",NA,14.7,83
"113","Harrison Butker","K","KC",148,12.8,2.11,126,166,3.06,-5.43,8.68,113,163,105,5,"1",134,3.11,29
"114","Nick Bosa","DL","SF",77.2,22.4,1.41,57.4,101,2.66,-11.2,10.4,114,212,103,6,"2",NA,13.5,93
"115","Dak Prescott","QB","DAL",274,18.4,2.36,255,297,2.36,2.42,11.4,115,120,99,12,"5",90.2,8.29,32
"116","Jordan Battle","DB","CIN",107,NA,0.95,NA,NA,1.93,NA,NA,116,NA,NA,5,"1",NA,3.98,NA
"117","Alex Singleton","LB","DEN",124,51.4,0.32,95,183,1.74,-6.13,20.5,117,172,77,7,"1",NA,8.02,98
"118","Jacob Phillips","LB","CLE",124,NA,1.06,NA,NA,1.42,NA,NA,118,NA,NA,8,"1",NA,NA,NA
"119","Jahan Dotson","WR","WAS",189,14.8,1.28,175,214,1.28,15.1,-3.61,119,81,156,35,"6",91.4,5.96,8
"120","Kayvon Thibodeaux","DL","NYG",75.8,11.8,0.425,68.5,89.3,1.25,0,-1.48,120,130,141,7,"2",NA,NA,49
"121","Mike Edwards","DB","KC",106,24.7,0.302,89,123,0.98,-1.26,-1.35,121,138,139,6,"1",NA,NA,85
"122","Jason Myers","K","SEA",146,7.34,0.56,137,155,0.951,5.25,-2.66,122,106,146,6,"1",158,1.8,23
"123","Haason Reddick","DL","PHI",75.4,5.52,0.0399,71.9,79.5,0.827,3.34,-11.4,123,115,204,8,"2",NA,9.5,31
"124","Will Anderson","DL","HOU",75.4,8.2,0.787,70.1,81.4,0.787,1.58,-9.42,124,125,191,9,"3",72.1,NA,40
"125","Minkah Fitzpatrick","DB","PIT",106,16.3,0.332,92.5,123,0.678,2.33,-0.859,125,122,137,7,"1",NA,11.6,48
"126","Tyler Bass","K","BUF",145,11,0.391,125,157,0.391,-7.16,-0.313,126,179,133,7,"1",134,2.19,19
"127","Logan Wilson","LB","CIN",123,25.2,0.357,109,152,0.357,7.67,-11,127,96,202,9,"1",NA,7.99,22
"128","Chauncey Gardner-Johnson","DB","DET",105,12.5,0.274,97.9,119,0.346,7.72,-4.95,128,95,164,8,"1",NA,9.02,33
"129","Harrison Smith","DB","MIN",105,12.6,0.0728,94.1,118,0.0728,3.84,-6.16,129,114,176,9,"1",NA,6.1,37
"130","Geno Smith","QB","SEA",272,14.4,9.23,252,290,0,0,4.28,130,130,119,13,"5",116,6.51,6
"131","Brian Robinson","RB","WAS",156,26.3,4.39,126,197,0,-1.24,4.65,130,137,118,35,"8",94.3,6.12,45
"132","George Pickens","WR","PIT",187,19.6,1.74,168,225,0,7.42,6.83,130,97,111,36,"6",82,9.42,25
"133","Cole Kmet","TE","CHI",133,17.3,0.847,106,153,0,-13.8,-7.25,130,239,184,13,"6",129,2.61,46
"134","Graham Gano","K","NYG",145,8.76,1.86,132,155,0,0,-2.96,130,130,149,8,"2",164,1.81,32
"135","Cowboys","DST","DAL",96.6,9.26,0.82,84.3,107,0,-0.613,-3.76,130,135,157,3,"3",113,2.36,13
"136","Harold Landry","DL","TEN",74.6,7,0.086,70.1,79.7,0,1.56,-11.1,130,126,203,10,"3",NA,7.75,36
"137","Bobby Wagner","LB","SEA",123,30.1,0.273,103,157,0,1.72,-5.89,130,124,172,10,"1",NA,18.3,37
"138","Jaquan Brisker","DB","CHI",105,28.1,2.13,83.1,136,0,-7.15,11.7,130,178,97,10,"1",NA,10.8,91
"139","Jonathan Allen","DL","WAS",74.5,19,0.213,61.6,96.1,-0.086,-6.93,5.31,131,176,114,11,"3",NA,NA,76
"140","Fred Warner","LB","SF",122,45.5,0.386,96.7,175,-0.273,-4.39,11.7,132,155,96,11,"1",NA,10.9,88
"141","Danielle Hunter","DL","MIN",74.3,17.6,0.165,62.7,94.4,-0.299,-5.88,3.59,133,168,121,12,"3",NA,12.7,69
"142","Aidan Hutchinson","DL","DET",74.1,0.455,1.92,73.6,74.5,-0.464,5.08,-16.3,134,107,255,13,"3",NA,NA,2
"143","Bobby Okereke","LB","NYG",122,40,3.76,97.2,168,-0.66,-3.89,4.88,135,152,117,12,"1",NA,15.8,76
"144","Chiefs","DST","KC",95.8,7.74,3.36,84.9,106,-0.82,0,-4.83,136,130,162,4,"4",163,0.665,10
"145","Chigoziem Okonkwo","TE","TEN",132,13.4,2.23,120,158,-0.847,0,-2.84,137,130,148,14,"6",142,3.16,11
"146","JuJu Smith-Schuster","WR","NE",186,22.2,0.127,160,218,-1.74,0,0,138,130,130,37,"6",119,4.56,56
"147","Greg Joseph","K","MIN",143,5.34,0.479,136,152,-1.86,4.26,-5.94,139,113,173,9,"2",173,1.36,10
"148","Brandin Cooks","WR","DAL",186,28.6,4.19,134,211,-1.87,-26.1,-6.8,140,354,182,38,"7",101,6.9,72
"149","Marcus Maye","DB","NO",103,8.23,0.964,94.8,110,-2.13,4.55,-14,141,110,240,11,"1",NA,3.43,15
"150","Brett Maher","K","DEN",142,19.6,0.308,119,175,-2.34,-12.3,17.7,142,223,83,10,"2",173,2.01,99
"151","Zaven Collins","DL","ARI",72.2,NA,0.0345,NA,NA,-2.39,NA,NA,143,NA,NA,14,"3",NA,NA,NA
"152","Cameron Jordan","DL","NO",72.2,15.7,1.54,62.6,90.1,-2.42,-5.95,-0.716,144,169,136,15,"3",NA,5.23,62
"153","Riley Patterson","K","DET",142,10.8,0.386,130,160,-2.65,-2.23,2.16,145,145,123,11,"2",176,1.87,71
"154","Brandon McManus","K","JAC",142,5.35,2.24,135,151,-3.03,3.11,-7,146,116,183,12,"2",171,1.16,1
"155","Juwan Johnson","TE","NO",130,22.7,0.391,108,163,-3.08,-11.8,2.24,147,216,122,15,"6",136,3.82,71
"156","Kamren Curl","DB","WAS",102,27.8,1.9,85.7,134,-3.1,-4.52,9.32,148,156,104,12,"1",NA,5.33,89
"157","Gerald Everett","TE","LAC",130,12.3,1.86,114,148,-3.47,-6.02,-12.4,149,171,217,16,"6",152,1.78,26
"158","Christian Wilkins","DL","MIA",70.6,2.47,0.118,69,72.4,-3.96,0.49,-18.4,150,127,272,16,"3",NA,7.58,18
"159","Brian Burns","DL","CAR",70.5,12,1.13,63.3,84.3,-4.08,-5.28,-6.52,151,162,179,17,"4",NA,7.99,51
"160","Steelers","DST","PIT",92.4,11.7,0.129,79.3,111,-4.18,-5.54,0,152,166,130,5,"4",138,1.78,55
"161","49ers","DST","SF",92.3,4.9,1.26,84.4,97.1,-4.31,-0.451,-14,153,133,239,6,"5",95.4,3.84,1
"162","Samaje Perine","RB","DEN",151,22.2,17.2,127,183,-4.39,0.197,-9.45,154,129,192,36,"9",117,5.21,34
"163","Harold Landry","LB","TEN",118,NA,0.531,NA,NA,-4.42,NA,NA,155,NA,NA,13,"1",NA,7.75,NA
"164","Jordyn Brooks","LB","SEA",118,39.8,1.26,89.2,163,-4.95,-11.9,0,156,218,130,14,"1",NA,NA,73
"165","Eddie Jackson","DB","CHI",99.9,23.4,0.00957,83,126,-5,-7.27,1.92,157,181,124,13,"1",NA,4.34,80
"166","L'Jarius Sneed","DB","KC",99.9,19.3,0.776,87.8,122,-5.01,-2.39,-2.38,158,146,145,14,"1",NA,5.62,67
"167","Cameron Heyward","DL","PIT",69.4,21,0.55,49.8,91.3,-5.21,-18.7,0.449,159,294,128,18,"4",NA,9.1,84
"168","Cameron Dicker","K","LAC",139,14,0.0262,119,154,-5.27,-12.9,-3.51,160,229,155,13,"2",167,1.36,94
"169","Chris Boswell","K","PIT",139,12.6,0.000349,129,164,-5.3,-2.53,6.19,161,147,112,14,"2",167,1.72,84
"170","Jake Moody","K","SF",139,8.08,0.224,127,148,-5.3,-5.17,-9.82,162,160,195,15,"2",170,1.43,81
"171","Greg Dulcich","TE","DEN",128,12.7,6.26,112,144,-5.33,-8.36,-16.7,163,187,260,17,"6",143,1.52,49
"172","Jake Elliott","K","PHI",139,13,0.371,122,158,-5.52,-9.8,0,164,197,130,16,"2",152,2.13,55
"173","Commanders","DST","WAS",91,12.3,0.0591,74.7,106,-5.57,-10.2,-4.71,165,203,161,7,"5",167,0.5,84
"174","Packers","DST","GB",90.9,5.3,0.0152,84.2,97.5,-5.63,-0.702,-13.6,166,136,229,8,"5",161,1,19
"175","Bills","DST","BUF",90.9,4.69,0.423,85.3,99,-5.64,0.382,-12.1,167,128,214,9,"6",121,1.92,3
"176","Sam Hubbard","DL","CIN",68.8,14.4,1.13,58.6,85.1,-5.76,-9.97,-5.7,168,200,171,19,"4",NA,6.43,55
"177","Jeremy Chinn","DB","CAR",99.1,4.52,0.286,94.6,103,-5.78,4.42,-21.2,169,112,298,15,"1",NA,9.43,4
