"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"246","Dexter Lawrence","DL","NYG",61.1,26,0.14,46.4,91,-13.4,-22.1,0.145,238,318,129,33,"5",NA,6.36,95
"247","T.J. Edwards","LB","CHI",109,47.3,0.877,80.8,163,-13.5,-20.3,0.519,239,303,126,27,"2",NA,6.89,94
"248","Trey Hendrickson","DL","CIN",61,16.7,0.102,49.2,80,-13.6,-19.3,-10.8,240,296,201,34,"5",NA,NA,67
"249","Kenny Moore","DB","IND",91.3,1.63,0.265,90.2,92.5,-13.6,0,-31.9,241,130,373,33,"2",NA,6.07,1
"250","Sam LaPorta","TE","DET",120,17.1,2.89,93.7,143,-13.7,-26.5,-17.5,243,359,265,19,"7",145,3.79,60
"251","Chris Jones","DL","KC",60.9,0.141,0.922,60.8,61,-13.7,-7.74,-29.8,242,184,355,35,"6",NA,7.46,1
"252","Jordan Fuller","DB","LAR",91,4.86,0.11,86.5,96.1,-13.9,-3.68,-28.2,244,151,344,34,"2",NA,NA,7
"253","Kaimi Fairbairn","K","HOU",131,5.13,0.804,124,137,-14,-7.65,-21,247,183,295,24,"3",170,0,16
"254","Titans","DST","TEN",82.6,7.3,0.469,70.2,92.5,-14,-14.7,-18.6,246,248,274,24,"13",170,0,48
"255","Jevon Holland","DB","MIA",90.9,19.1,0.39,80.2,113,-14,-10.1,-11.6,245,202,206,35,"2",NA,NA,65
"256","Aaron Rodgers","QB","NYJ",258,20.8,0.259,220,277,-14.1,-31.9,-9.06,248,411,188,15,"5",99.5,9.19,41
"257","Russell Wilson","QB","DEN",257,19.7,0.603,231,277,-14.4,-21.2,-9.07,250,306,189,16,"5",137,4.99,47
"258","Dre Greenlaw","LB","SF",108,27.9,0.724,88,140,-14.4,-13.1,-23,251,232,311,28,"2",NA,7.78,27
"259","Tony Adams","DB","NYJ",90.5,NA,0.373,NA,NA,-14.4,NA,NA,249,NA,NA,36,"2",NA,NA,NA
"260","Vikings","DST","MIN",82.1,6.89,0.245,70.2,88.7,-14.5,-14.7,-22.3,252,249,306,25,"13",181,0,39
"261","Zach Sieler","DL","MIA",60,21.6,1.1,47.8,84.8,-14.6,-20.8,-6.01,253,305,174,36,"6",NA,NA,89
"262","Broncos","DST","DEN",81.9,7.39,1.79,70,90.5,-14.7,-14.9,-20.6,254,251,291,26,"14",158,0.7,16
"263","DeShon Elliott","DB","MIA",90.1,21.6,0.101,76.3,106,-14.7,-13.9,-18.4,255,240,271,37,"2",NA,4.06,72
"264","Matt Prater","K","ARI",130,10.4,0.947,115,145,-14.8,-17.1,-12.2,256,276,215,25,"3",170,0,77
"265","Tyrann Mathieu","DB","NO",90,18.1,0.566,79.4,111,-14.8,-10.8,-13.6,257,210,230,38,"2",NA,NA,59
"266","Tua Tagovailoa","QB","MIA",257,16.3,12.7,239,280,-15,-13.2,-5.4,258,235,166,17,"6",94.1,7.55,15
"267","Devin White","LB","TB",108,36.2,0.999,85.6,149,-15.1,-15.5,-13.9,259,258,236,29,"2",NA,6.7,59
"268","Richie Grant","DB","ATL",89.5,35,0.592,68.8,130,-15.4,-21.5,5.22,260,310,115,39,"2",NA,NA,98
"269","Shaquil Barrett","DL","TB",58.9,1.7,1.56,57.6,60,-15.7,-10.9,-30.8,261,211,364,37,"6",NA,4.8,9
"270","Wil Lutz","K","NO",129,10.2,1.07,119,143,-15.8,-13.1,-14.5,262,231,244,26,"3",188,1.63,45
"271","Talanoa Hufanga","DB","SF",88.9,28.8,0.12,68,122,-16,-22.2,-2.83,263,320,147,40,"2",NA,7.73,93
"272","Nakobe Dean","LB","PHI",107,7.1,0.125,101,114,-16.1,0,-48.5,265,130,497,30,"2",NA,12.5,1
"273","Decobie Durant","DB","LAR",88.7,11.4,0.111,77.7,99.2,-16.1,-12.5,-25.1,264,224,323,41,"2",NA,NA,26
"274","Micah Parsons","LB","DAL",106,NA,0.229,NA,NA,-16.2,NA,NA,267,NA,NA,31,"2",NA,NA,NA
"275","Donovan Wilson","DB","DAL",88.6,17.5,0.656,74.1,108,-16.2,-16.1,-16.5,266,266,257,42,"2",NA,NA,54
"276","Jordan Addison","WR","MIN",171,26.6,1.97,139,217,-16.4,-21.5,-0.642,268,312,135,42,"7",104,10.6,68
"277","Cardinals","DST","ARI",80.1,6.6,1.1,74.1,92.2,-16.5,-10.8,-18.9,270,209,280,27,"15",170,0,68
"278","Pete Werner","LB","NO",106,22.3,1.7,85.9,129,-16.5,-15.2,-34.1,269,255,387,32,"2",NA,6.72,12
"279","Irv Smith Jr.","TE","CIN",117,17.1,0.44,97.2,142,-16.6,-23,-18.8,271,330,278,20,"7",160,1.85,66
"280","Chad Ryland","K","NE",128,14.3,1.19,112,152,-16.8,-20,-5.61,272,300,168,27,"3",170,1.44,90
"281","Kyler Gordon","DB","CHI",88,17.3,0.801,73,106,-16.9,-17.2,-18.1,273,278,270,43,"2",NA,NA,52
"282","Zach Ertz","TE","ARI",116,23.8,1.77,83.6,146,-17.1,-36.6,-14.2,274,452,243,21,"7",160,4.24,83
"283","Tyus Bowser","DL","BAL",57.3,10.2,0.554,49.8,63.8,-17.3,-18.7,-27,275,293,335,38,"6",NA,NA,45
"284","Panthers","DST","CAR",79,7.41,0.351,68.5,87.4,-17.6,-16.4,-23.7,276,268,315,28,"15",168,0,35
"285","Rodney Thomas II","DB","IND",87.2,7.61,0.0974,79,93.9,-17.7,-11.2,-30.5,277,213,360,44,"2",NA,NA,11
"286","Joey Bosa","DL","LAC",56.8,3.39,0.142,54.3,58.9,-17.8,-14.3,-31.9,280,244,372,39,"6",NA,7.44,22
"287","Jonathan Owens","DB","GB",87.1,29.1,0.0204,68.4,108,-17.8,-21.8,-15.9,278,317,252,45,"2",NA,5.66,94
"288","Marshon Lattimore","DB","NO",87.1,8.99,0.192,79.7,96.8,-17.8,-10.5,-27.5,279,208,340,46,"2",NA,NA,17
"289","Cade York","K","CLE",127,7.41,0.807,119,139,-18,-12.9,-18.8,284,228,277,28,"3",170,0,35
"290","Buccaneers","DST","TB",78.6,11.7,1.86,57.2,89,-18,-27.6,-22.1,282,370,305,29,"16",170,0,94
"291","Dre'Mont Jones","DL","SEA",56.6,16,1.2,47.3,75,-18,-21.3,-15.8,281,308,251,40,"6",NA,NA,64
"292","Carlton Davis","DB","TB",86.9,10.9,0.0471,80.2,99.3,-18,-10,-25,283,201,322,47,"2",NA,NA,24
"293","Terrell Edmunds","DB","PHI",86.8,14.3,0.623,73.8,101,-18,-16.4,-23,285,269,312,48,"2",NA,NA,41
"294","Cody Barton","LB","WAS",104,46.5,0.407,71.3,157,-18.2,-29.8,-5.63,286,387,169,33,"2",NA,NA,92
"295","Jaxon Smith-Njigba","WR","SEA",169,22.9,1.52,148,213,-18.3,-12.7,-4.85,287,225,163,43,"7",103,10.9,55
"296","Patrick Queen","LB","BAL",104,28.7,0.419,87.7,137,-18.6,-13.4,-25.9,288,236,331,34,"2",NA,NA,31
"297","Michael Jackson","DB","SEA",86.2,NA,0.0385,NA,NA,-18.7,NA,NA,289,NA,NA,49,"2",NA,NA,NA
"298","Deommodore Lenoir","DB","SF",86.2,23.1,0.163,66.1,110,-18.7,-24.1,-13.9,290,336,238,50,"2",NA,NA,76
"299","Hunter Henry","TE","NE",114,16.4,1.29,94.1,135,-18.8,-26.1,-25.6,293,355,327,22,"7",163,2.56,69
"300","Joey Slye","K","WAS",126,9.53,0.0187,115,143,-18.8,-17,-14.5,291,274,245,29,"3",170,0,58
"301","Tanner Brown","K","LAR",126,11.9,0.981,116,146,-18.8,-15.6,-11.7,292,260,207,30,"3",170,0,52
"302","Brandon Jones","DB","MIA",86,50.7,0.569,52.1,144,-18.9,-38.1,19.5,294,464,79,51,"2",NA,NA,99
